Year,Name,Overview,Strengths,Weaknesses,Label
2022,Desmond Ridder,"Four-year starter and four-year winner whose hard work at his craft altered his standing from good college quarterback to early-round draft pick. There is nothing special about Ridder's size or arm talent but his improved confidence and field command has really helped him mature at the position. He plays in rhythm and operates with consistently repeatable footwork and mechanics. He's intelligent and processes quickly, which should help him find where the football needs to go regardless of passing scheme. Getting the ball to NFL targets accurately and safely, however, is not a given. Despite favorable mechanics, his accuracy and ball placement need work and he doesn't have the arm strength or release quickness to consistently survive off-target throws against pro coverage. He can run but is more of a pocket passer who can win with his legs than a true dual-threat quarterback.",Jump in production and play from 2020 to 2021. Team captain who plays with confidence and command on the field. Mobile and athletic but looks to win from the pocket. Pocket poise with easy slide away from pressure points. Quick to process what the defense shows him. Uses eyes to hold single-high safety and set up a deep shot. Patient in allowing routes to mature and uncover. Mobility to elude pressure and reset launch point outside the pocket. Machine-like mechanics and footwork. Operates from a well-balanced platform. Able to pump and alter target choice when needed. Changes speeds and alters touch underneath. Throws the out route with timing and break anticipation. Speed to turn a scramble into a chunk play.,"Deep balls have a tendency to come up short. Gives safeties time to range over the top from the post. Average arm strength for tight-window throws. Windup slows overall release quickness. Slower operation time led to 26 career batted passes, per PFF. Struggles in throwing receivers open. Inconsistent accuracy on intermediate throws. Rarely gets all the way through his progressions. Average elusiveness could bring heavy punishment as a runner. Below-average placement and velocity for pro throws. Peels back and over the top of the pocket, leading to sacks.",Backup
2022,Malik Willis,"Upside quarterback with special parts of his game, but with no guarantee they will be assembled properly into a finished product. Willis uses his rare combination of elite rushing talent and a rocket-launching right arm to unlock explosive plays in two different ways. He has the arm to beat safeties to the deepest parts of the field and makes impressive throws from inside and outside the pocket. On the flip side, Willis' mechanical and operational inconsistencies lead to erratic timing and accuracy, and he doesn't throw with enough touch. Protection and receiver separation were both issues, but Willis also pressed over the second half of the season and never looked comfortable in the Liberty offense. On the pro level, additional film work and a layered, pro-style passing attack could allow for more focused reads and help him see the field faster and more clearly from the pocket. Play-callers must lean into his special talent as a runner and include called runs into the game plan. Even if Willis fails to reach his passing potential, running ability doesn't slump and he has the talent to produce on the ground at a level between Jalen Hurts and Lamar Jackson.","Electrifying dual-threat ability and potential. Frame is compact, broad and powerful. Rare escapability and elusiveness on the go. Finishes strong and gets what is needed on called runs. Ran for 100-plus yards five times over the last two years. Able to pace his release according to need. Ability to recognize blitz and get the ball out. Makes drive throws with twitchy hips. Arm strength capable of winning in tight windows. Beats safeties on deep sideline throws. Ability to work through progressions when protected. Wide-lens field scan on rollouts and scrambles. Rapid mesh-point transition to throw on RPOs. Strong hands for fluid pump, reset and launch.","Set depth will get away from him at times. Below average climbing pocket and staying throw-ready. Drops eyes rather than standing in and delivering in the face of pressure. Too many missed opportunities to make easy, on-schedule throws. Allows throwing windows to close on him. Poor field recognition and progression quickness over second half of the season. Pressed and took unnecessary sacks. Throwing mechanics lack repeatable consistency. Needs to calm and settle his feet from the pocket. Elbow drop and overstride have been culprits. Deep balls can be rushed and a little flat. Lack of touch greatly diminishes his margin for error as a thrower. Ball placement causes stride breaks and adjustments for wideouts. Accuracy plummets when scrambling. Major struggles bringing in snaps and securing through contact in 2020",Backup
2022,Matt Corral,"Small quarterback with a big heart who has learned to play with better maturity and control without losing his edge. Corral played in a quarterback-friendly scheme with well-defined reads, so he needs to prove he can work through full-field progressions and make good decisions with the ball. He's decisive, operating with a quick-trigger release to challenge tight windows and possesses the touch to make challenging bucket throws. He's a fiercely competitive runner but needs to get his slide game up as he's not built to take the pounding from called runs or scrambles. Corral is mobile, but his poise and accuracy wane when forced to move. Discipline has benefitted Corral and he's clearly at his best when operating on-schedule and in rhythm. A spread-based scheme and a player-friendly head coach gives Corral the best opportunity to live up to his potential and challenge to become the best QB from this draft class.","Competes hard and plays with an abundance of confidence. Quicker processor and better decision-maker in 2021. Hasty ball-handling for quick game and RPOs. Impressive release quickness and rips a tight spiral. Touch and fearlessness to work between leveled coverage. Generally patient, allowing routes to develop. Above-average arm strength for smaller quarterback. Twitched-up hips to generate drive on window throws. Made 60-yard throw without having his feet set against Alabama. Throws fluffy, well-placed deep ball when protected. Would rather take sack then put the ball up for grabs. Would have had significantly higher completion rate if not for excessive drops. Able to slip away from pressure. Both elusive and combative on called runs and scrambles.",Slender frame with size falling below desired NFL mark. Too haphazard as a runner to sustain durability. Scouts question whether he has necessary maturity. Benefits from heavy play-action and RPO looks. Needs to prove he can become a full-field reader. Babies and aims the short throw. Deep ball needs to come out earlier for speedy NFL targets. Will take unnecessary chances against lingering safety help. Most of his interceptions were layups for the defender. Poise and placement take a hit once his feet are moving. Takes too long to leave pocket and seek refuge under duress.,Backup
2022,Bailey Zappe,"Stocky pocket passer with eye-popping production in high-volume passing attacks. Zappe is a confident passer willing to challenge both man or zone coverages on all three levels. His release quickness and arm strength are both below average and he might not work with the anticipation or decision-making prowess to overcome those areas of concern. He's unimpressive physically and lacks precision accuracy, so finding work as a backup might be a longshot despite the impressive career production.",Prolific pass production. Great feel for his scheme and isn't easily rattled. Good pre-snap recognition of coverage and pressure points. Trusts his pocket and rarely voids it unnecessarily. Vision to exploit holes in the zone. Feels pressure off the edge and climbs pocket ready to throw. Alters trajectory on deep throws according to the coverage. Excellent deep ball touch. Functional mobility inside and outside of the pocket.,"Stocky and short for a pocket passer. Can get stuck on single-side reads. Operation time for delivery is slow. Lacks the arm talent for difficult, off-platform throws. Won't beat NFL coverage often enough on tight-window throws. Lackadaisical delivery causes accuracy issues in quick passing game.Basic ball placement and accuracy are spotty when moving his feet. Most interceptions came from poor decision-making.",Backup
2022,Sam Howell,"Stocky, three-year starter who plays with admirable confidence despite inconsistencies in important areas as a passer. Howell attacks the field working from deep to short when he's allowed. He's not a classic full-field reader at this point but has pocket poise and mobility to potentially develop in that area in the future. He muscles throws, hindering his accuracy on drive throws but has adequate arm strength and can expedite off-platform throws. Howell doesn't throw with nearly enough timing or ball placement, which forces wideouts into the boundaries or to break stride, limiting their YAC potential. He flashed impressive dual-threat talent in 2021, which should work in his favor. The 2021 tape was bumpy but his makeup is really good and improvement is likely with better pieces around him. Howell isn't wired for or suited to a ball-control passing attack and might need a vertical passing scheme capable of creating explosive plays in order to succeed.",Gamer tendencies since freshman season. Confident demeanor leaks over to teammates. Has some sandlot talent when pressed. Climbs pocket with scanner still clicked on. Adequate decision-maker reading combo routes. Can get to his third read across the field. Looks for explosive throws outside the pocket. Nimble dealing with foot traffic. Zip and multiple arm slots for off-platform throws. Took yards with his legs rather than forcing throws in 2021. Red-zone value as a runner. Frisky with shake to elude and pop to finish.,Squatty frame and tightly bound limbs. Ball pat and windup slow the release. Touch and timing both need work. Muscles the throws with upper body causing the ball to sail. Falls off the throw unnecessarily. Gives safety a head-start to make plays over the top. Deep balls come out late and a little flat. Placement issues make receivers work hard. Lacks accuracy on drive throws. Needs to trust his eyes and cut it loose. Takes too many unnecessary sacks.,Low End Starter
2022,Chris Oladokun,Oladokun offers good arm talent and an ability to throw on the move and off platform. His placement and anticipation need work and he's noticeably better throwing between the numbers than outside them. He plays with plus pocket mobility and can extend the play when needed but must become a better decision-maker and field-reader to have a chance at the next level.,Possesses NFL arm talent and an expedited release. Was a better deep-ball passer than stats would indicate. Deep throws come out without much effort. Throws with confidence when he's on the move. Shows ability to sit down and drive throws into windows. Pocket mobility buys additional time to search for throws. Caught two touchdown passes in 2021.,Started every game in only one of five seasons. Gets stuck on one side of the field with his reads. Coverage recognition can be a problem. Anticipation as a passer is slightly below average. Ball placement on intermediate throws needs work.,Backup
2022,Skyler Thompson,Thompson's passing production hasn't been overly impressive and his health has been an issue over the last two seasons. He has a decent arm and can make plays on the move. He's a decent field-reader who doesn't take too many unnecessary chances but he's also not going to make enough plays. The age and lack of consistent production as a passer hurt his chances.,Shows ability to work through progressions. Reads coverage on combo routes with timing. Resets feet on the move to deliver from his platform. Arm talent to make rollout and scramble throws with success. Delivers deep ball with adequate touch. Maneuvers around the pocket and locates his target. Won't take many unnecessary chances with the football.,"Will be a 25-year-old rookie. Very average passing production over his 40 starts. Below-average accuracy on drive throws. Over-strides and sails the throw. Forces receivers to break stride and work for it. Throws need to come out with better anticipation. Fails to fully explore passing options when he hits the red zone. Missed chunks of time due to upper body, knee and ankle injuries since 2020.",Backup
2022,Brock Purdy,"Four-year starter who was never able to improve upon a stellar sophomore campaign. Purdy is a burly pocket quarterback who needs a play-action based offense where he can rely on timing over release quickness and arm strength. He can be a confident passer when he finds his rhythm, but throwing is more of a chore than a talent thanks to a labored release. Certain areas of the field will be off limits as he moves up to take on NFL coverage talent. He's a scrappy runner but not dynamic enough to make up for his shortcomings as a passer.",Four-year starter and team leader. Different quarterback when he finds his rhythm. Makes his way through progressions. Strong hands allow for easy pump fakes to move defenders. Generally accurate passer between the numbers. Confident throwing over linebackers and in front of safeties. Good toughness and anticipation as a runner. Willing to dive to move the chains.,Pocket setup lacks quickness. Field blinders occasionally rob him of seeing the big play. Delivery is labored. Lacks timing to beat NFL corners outside the numbers. Shies away from tight-window throws. Ball needs to come out sooner on deep-ball shots. Confidence and consistency have been issues.,High End Starter
2021,Trevor Lawrence,"Refined and polished for his age, Lawrence is the ultimate prototype for today's brand of franchise quarterback. He has great size. He also possesses elite pocket-passing qualities paired with dual-threat athleticism that makes him an unpredictable weapon on every down if play-callers are willing to expand their playbooks for him. While he's fairly polished with his approach from the pocket, he has better improvisational talent than many of the quarterbacks who have come up through the quarterback camp circuits from a young age. He has the arm and eyes to make all the throws and to create explosive plays from outside the pocket. There are some areas of concern, though. Lawrence's poise, decision-making and accuracy all took a hit in 2020 when he was forced to work under pressure. His performance against Virginia Tech showed there is still room for improvement with how he processes his options against the blitz. There were times when he looked encumbered by his play-action-heavy, shotgun offense. Getting away from that system could help him post-snap. He's generally a smooth operator, with an abundance of experience and tape against high-level competition over three seasons. His body of work should give NFL teams a clear view of who he is and the type of player he could become. Lawrence has an extremely high ceiling and a floor as a very good player who will start for a long time.","Played rare volume of high-leverage games as three-year starter. 86-4 record as a starter dating back to high school. Commanding presence with unmistakable air of confidence. Elite size, athleticism and play traits. Dual-threat capabilities will add to his explosive play totals. Speed, wiggle and toughness for zone-read and called runs. Understands how to protect himself. Feet stay calm when working from pocket. Subtle pocket slides to stay pass-ready and on platform. Internal clock helps him stay on schedule. High-level escapability when pocket collapses. Pinpoint accuracy on basic throws. Sticks short throws into run-ready placement. Ability to generate sudden torque for drive velocity. Arm to challenge safeties and work into tight windows. Willing to take punishment to deliver throw with poise. Alters arm slot to sling it around incoming bodies. Capable of altering touch and trajectory when needed. Unlikely to opt-out into checkdown prematurely. Delivers lasers to the back shoulder.",Benefits from heavy play-action and quick game. Offense limited amount of full-field reads asked of him. Inconsistent eye manipulation of safeties. Play can become frenetic when pressure arises. Struggled deciphering blitz and coverage packages against Virginia Tech. Has ball dip in his passing delivery. Can improve in throwing receivers open. Sailed a few more throws than expected. Will make ill-advised throw over taking sack on occasion. Average deep-ball placement. Will need to incorporate a slide into his game as a runner. Threw an interception in five of his last six games.,High End Starter
2021,Zach Wilson,"Ascending quarterback prospect who possesses the swagger and arm talent to create explosive plays inside and outside the pocket. The gunslinger's mentality and improvised release points are clearly patterned off of one of his favorite players, Aaron Rodgers. However, his play is a little more reminiscent of a blend between Jake Plummer and Johnny Manziel coming out of college. As with Manziel, too much of Wilson's work comes off-schedule due to inconsistent anticipation and a desire to hit the big play. But like both Manziel (at Texas A&M) and Plummer, he's mobile with the ability to extend plays and hit the chunk play. Wilson's sophomore year tape shows troubling decision-making, so NFL teams will need to balance his 2019 and 2020 production in the evaluation process. He's put in a lot of work to get to this point and has the potential to become a good pro. However, he might need to play with a more disciplined approach to reach his ceiling.","Enormous jump in production and play quality in 2020. Outstanding 11:1 touchdown-to-interception ratio in 2020. Offers potential as full-field reader. Arm looked substantially more lively in 2020, with highlight-reel throws on the move. Slick ball-handler in quick game and RPOs. Twitchy operation time to get it out and easily alters arm slot if needed. Generates sudden drive velocity for seam throws. Throws with some accuracy working off-platform. Sticks throws into Cover 2 windows with great conviction. Unafraid of making tight-window challenges. Gives big targets a chance to make plays on 50/50 balls. Deep and intermediate accuracy (54% and 68%, according to PFF) was outstanding. Feels pressure bearing down off the edge. Able to make subtle pocket slides and stay throw-ready. Athletic play extender with big-play mindset outside the pocket. Has mobility to keep defenses honest.","Level of competition allowed for ""bombs away"" mindset in 2020. Struggled with accuracy and decision-making against Coastal Carolina. Carries ball down by waist as pocket scanner. Has tendency to over-stride and sail throws at times. Hero ball needs to be dialed back a bit. Passed up on the easy throw to take the harder throw. Doesn't work with enough anticipation as a passer. Will baby throws, forcing open receivers to break stride. Ill-advised throws under pressure turned into interceptions in 2019. Went 2-4 against top-25 teams during his career.",Backup
2021,Trey Lance,"One-year starter who dazzled in 2019. Lance is mature for his age, but will be just 20 years old at the time of the 2021 NFL Draft. He's a rare dual-threat quarterback in that he's tasked with setting his own protections and reading the full field. Coaches rave about his football IQ and film work. They believe he will come into the league more football savvy than most of the quarterbacks in this draft. Tape shows very average arm strength but velocity should improve with better lower-body drive. While his recognition of coverage danger is a plus, he's currently more of a ""yellow light"" quarterback who needs to find a ""green light"" risk-taking mentality to become a playmaking talent in the NFL. An offensive coordinator willing to blend his run/pass talent with a play-action attack could get the most out of Lance, who should become a good NFL starter.","Film junkie with high football IQ and an NFL frame. Makes calls to set his own protections. Bouncy feet for accelerated pocket setups. Play-fake aficionado from under center, causing defenders to consistently bite. Passing scheme encourages full-field reads. Processes progressions very quickly and can work to his fourth read when protected. Able to mentally recalibrate his attack when play comes off schedule. Taking care of the football is a priority for him. Rarely takes bait against zone defenders and safeties looking to pounce. Compact, twitchy release partially mitigates his windup. Makes attempt to throw targets away from coverage. Adequate anticipation on timing routes. Makes quality touch throws into sideline buckets and over linebackers. Knows his way around pocket and can make sudden escapes. Above-average speed, athleticism and power when heâs on the move as a runner. Able to move the chains in a variety of ways.","Highly inexperienced with just 318 pass attempts under his belt. Will be 20 years old at the time of the 2021 draft. Gets a little lackadaisical with his feet in quick game. Needs to trust his pocket. Has a tendency to void pocket rather than sliding and surveilling. Pressure pulls his attention from deliverable throws. Needs to become more decisive and trust his eyes. Leaves lower half behind, diminishing his drive velocity. Occasionally leaves explosive plays on the field by not getting it out on time. Leaves too many deep balls short, allowing defenders to challenge. Can be overly cautious. Needs to get his slide game up and minimize collisions as a runner.",Backup
2021,Justin Fields,"Like Dak Prescott before him, Fields enters the league with dual-threat capabilities but is more of a pocket passer with the ability to extend plays or win with his legs when needed. He was up and down in 2020, but a bounce-back performance against Clemson -- including an impressive second half after suffering an injury -- said a lot about his toughness and leadership. He sees the field fairly well inside the Buckeyes quarterback-friendly offense but needs to become a full-field reader and prevent his eyes from becoming transfixed on primary targets. He sticks open throws with accuracy and velocity thanks to a sturdy platform and good drive mechanics. He's also comfortable throwing into intermediate holes of a zone. A slower operation time and a lack of a twitchy trigger will require him to work with better anticipation and pressure recognition pre- and post-snap. He takes more sacks than coaches will be comfortable with but he also digs his way out of holes and creates explosive plays. Fields operates with a quiet confidence and has experience overcoming adversity. He should continue to improve and become a solid NFL starter within a couple of seasons.","Toughness/willingness to do what it takes is always on display. Never lost a Big Ten game as a starter. Vast improvement in 2020 with fumbles per snap. Good size with stout lower body to stave off sacks/tackles. Lateral footwork to side-step downhill blitzers. Usually finds a firm, sturdy passing base beneath him. Plenty of zip for long, field-side throws. Attention to drive mechanics generates velocity when needed. Makes quality reads when deciphering high-low concepts. Confident and comfortable throwing into intermediate zone windows. Willing to take a big hit to deliver a pass. Good command and accuracy on boot action to the right. Keeps defenses honest with his legs. Picks up tough yards on the ground when team needs it.","Needs to improve pocket mobility for clean launch points. Below-average feel for edge pressure, running himself into pressure points. Field vision is average in face of the blitz. Missed open blitz beaters in the middle of the field against Indiana. Gradual operation time prevents expedited release. Needs to release ball earlier on anticipatory throws. Needs to improve eye manipulation as a pro. Stagnant eyes invite coverage to the passing party. Forces receivers to slow for deep throws. Pet spin move as runner got him clocked against Clemson.",Low End Starter
2021,Mac Jones,"Jones has above-average accuracy and a season full of eye-catching production. He displayed nice improvement as he grew into the position from 2019 to 2020. His accuracy and ball placement stand out and he throws a very catchable football with consistent touch on it. He's not much of an improv player but can hurt defenses with his feet once he leaves the pocket. The tape shows too much predetermined decision-making about where he wants to go with the football rather than letting the coverage and his progressions speak to him. While the production looks great, he has clearly benefited from a wealth of riches up front, in the backfield and at wide receiver. He has a tendency to play with some panic when pressure gets after him and could struggle when things aren't optimal around him. Jones has good backup to low-end starter potential.",Stepped up to the challenge in 2020. Won't take unnecessary chances very often. Feel for pocket slides to avoid pressure. Can climb into a rhythmic drive throw. Very confident making placement throws. Feathery touch attacking over the top of linebackers. Accuracy to prevent receivers from having to break stride. Expedites release on hot reads and in the face of pressure. Perfect placement with hanging it high for receiver to leap and make plays. Shows flashes of throwing players open. Wins at the back shoulder. Willing to get rid of the ball rather than take a loss or make a mistake. Some elusive qualities when he turns into a runner.,Very thin lower body and struggles to fight off rush contact. Slow ball handler on RPOs. Leaves back half behind in his follow-through. Average release quickness. Locks in on a target rather than honoring the progressions. Doesn't play with the desired poise of an NFL starter. Antsy when reads don't quickly come together. Play can be panicky and rushed in the face of pressure. Has trouble locating open targets in direction where heat is coming from. Would like to see him play with more grit.,Low End Starter
2021,Kyle Trask,"Trask clearly has the arm strength, touch and placement to wear out one-on-one coverage if he has good protection and above-average players around him, but he's not going to elevate an offense with his talent alone. He's very good at finding his throwing platform and can deliver deep throws with outstanding touch. He needs to improve his eye work to create more opportunities by moving safeties around. Trask is clearly a skilled passer, but it's hard to find evidence of him being able to play chess at this point against what NFL defenses are likely to show him.",Prototypical size to stand tall and fire from the pocket. Made substantial production gains across the board in 2020. Enabled team to open up game plan in 2020. Became the first FBS quarterback in 15 years to post three or more TD passes in nine consecutive games. Stepped up against Alabama in SEC Championship Game. Able to pump and reset against baiting coverage. Feels edge pressure and climbs to free space in pocket. Gets back into passing platform when moving outside the pocket. Arm strength to whip field-side deep outs with no issues. Tardy safeties will find a willing challenger over the top. Talented downfield passer with touch and accuracy. Can attack one-on-ones and place deep throw where it needs to go. Fairly accurate even when feet are not set.,"Pocket setup is slower and labored. Footwork gets sloppy and bouncy inside pocket. Needs to do better at recalibrating optimal targets post-snap. Will miss blitz recognition and basic reads at times. Threw into bracketed coverage multiple times against LSU. Deliberate release will not tolerate slow reads through progressions. Below-average functional mobility to extend the play. Unlikely to improvise and beat defense if he's not well-protected. Appeared to favor left knee, affecting follow-through. Runs targets into traffic and collisions with late-ball delivery.",Backup
2021,Kellen Mond,"Quarterback with dual-threat physical tools who has grown and matured into a role as a confident game manager. The Aggies' offense asked too much of Mond in the past, which led to diminishing returns. However, the 2020 offense featured a strong rushing attack paired with play-action, where he not only found greater confidence and rhythm as a passer, but also noticeable pocket poise and accuracy. He doesn't often get antsy working from the pocket and throws with solid ball placement underneath. Issues with touch and anticipation create erratic completion numbers when asked to throw down the field and outside the numbers, which will concern evaluators. His zone-read talent and quick release to incorporate RPOs adds to his draft value, but he might lack the consistency to ever become more than a solid backup.","Four-year starter with growing confidence. Improved game management and ball placement in 2020. Touchdown-to-interception ratio jumped from 2:1 to 6:1 in 2020. Has become willing pocket passer who trusts his protection. Quiet lower body when working through progressions. Delivers most throws from balanced platform. Alters arm slot to deliver ball around bodies and arms. Quick, wrist-flick release generates tight spiral with quality zip. Relatively accurate throwing on the move. Dangerous zone-read option. Able to break the pocket and move the sticks with chunk play scrambles.",Deep throws are often flat and overthrown. Highly inconsistent in working with anticipation. Doesn't consistently make defenses pay for coverage mistakes. Shies away from big-play opportunities to take shorter throws. Will miss late safety movement indicating incoming blitz. Defaults to aiming rather than throwing at times. Just average attacking high-low route concepts. Inaccuracy and indecisiveness reared ugly heads against LSU. Completed just 35 percent of intermediate throws outside the numbers (and 26 percent of deep throws outside numbers) in 2020.,Backup
2021,Davis Mills,"There isn't going to be an excessive amount of tape on Mills, but teams will see a player with below-average mobility, good size and plenty of arm talent for passing attacks looking to open up the entire field. Mills is still in the developmental stage as it pertains to his ability to command the offense and play chess against coverages and blitz looks. He's made for a play-action attack that can promote his timing as a passer and help keep him protected. The injury background and lack of experience are potential stumbling blocks, but the talent is better than the production and worthy of a middle-round pick for development as a good backup to low-end starter.","Highly regarded recruit who might be coming into his own. Prototypical size for a pocket passer. Has experience working under center. Quality footwork creates rhythm as a play-action passer. Arm talent to challenge Cover 2 windows and rifle deep outs. Snaps lower half into release, adding to drive velocity. Throwing motion is buttery smooth and effortless. Ball comes out with some zip on a tight spiral. Works with impressive anticipation for an inexperienced quarterback. Frequently cuts it loose when target is just getting in or out of break. Squares hips and shoulder as rollout passer. Releases deep out when receiver is coming out of break. Can dodge free runner off the edge and collect himself to find a receiver.",Just 11 career starts under his belt. Surprisingly low touchdown total relative to attempted passes. Below-average pocket climb and mobility. Needs to read route combinations and allow them to mature. Modest operation time to load and fire. Poor ball placement eliminated touchdown opportunities. Has a tough time coming off of primary read at times. Needs to develop eye discipline to hold safeties. Too willing to fling ball into populated coverages. Plays with some alarm from pocket when internal clock goes off. Below-average escapability from pocket pressure.,Low End Starter
2021,Ian Book,"Notre Dame's winningest quarterback brings plenty of leadership and overall intangibles with him. He has big game experience in his background, too. However, his size and arm strength fall below NFL standards and there isn't anything in his game that he can really hang his hat on that counters those issues. He makes receivers work too hard for the catch and was dreadful throwing outside the numbers in 2020. He's effective in RPO calls. He also does a nice job of feeling pocket pressure and sliding around it or getting outside the pocket to make plays. He's a capable runner and a plus athlete but doesn't have the necessary play traits to make a splash in the NFL.",Three-year starter and two-time team captain. Leadership is important to him and he's highly respected by teammates. Feet are quick in his setup on play-action. Climbs pocket when he feels the edge caving in. Footwork and ball-handling for RPOs. Expedites his operation process when he reads hot. Hangs in tough to deliver throws in face of impending hits. Throws the football with good touch and catchability. Escapability to make plays outside the pocket. Slippery runner once he's inside the red zone.,Needs to get through his progressions faster. Has issues with indecisiveness at times. Carries ball low in the pocket and throws with a windup. Lacks arm strength to make all the pro throws. Will struggle to zip it between linebacker and safety. Completion totals were abysmal outside the numbers. Not a natural anticipatory thrower. Ball placement is inconsistent. Has issues air-mailing throws way over targets. On the shorter side by NFL standards.,Backup
2021,Sam Ehlinger,"Highly touted dual-threat quarterback from the Austin area who put together four solid but somewhat unspectacular years at Texas. They don't come much tougher than Ehlinger at the position, and his intangibles are as good as you could ask for. He's a very average passer, but can deliver most throws with good enough accuracy and velocity to hit the open target. He doesn't have a plus arm and could struggle to fit throws into tight windows or make big completions throwing on the move. His deep ball accuracy is a step below average but he's fairly effective throwing with anticipation on intermediate routes. He's not an explosive runner, although he gets tough yards on a consistent basis as a scrambler and on called runs. His 2019 tape is a better study of his potential, but career backup looks like his ceiling.",Full-time starter for three-plus seasons. Well-built frame is durable and strong. List of intangibles is off the charts. Has experience with leading through adversity. Plays with dirt-dog toughness as a quarterback. Trusts his pocket but knows his way around it. Excellent climb and slide away from pressure without dropping his eyes. Displays adequate arm talent to make NFL throws. No fear in standing and delivering the throw in the face of pressure. Has become better decision-maker and more decisive over the years. Possesses value as a willing and able runner. Able to go get physical yardage near goal line or to move the chains.,Defaulted to hero ball a little too often in 2020. Took too many chances rather than making the smart play. Carries the ball low while scanning in the pocket. Elongated dip and wind release. Gives safeties early jumps by locking in too early. Tightly muscled with some restriction in follow-through. Deep balls could use more air and better accuracy. Will take unnecessary sacks by holding the ball too long.,Backup
2020,Joe Burrow,"People's champ with rags-to-riches story arc culminating in one of the greatest one-year turnarounds in sports history. He's self-assured and plays with competitive toughness that teammates will gravitate toward instantly. He's a rhythm passer who benefited from tempo and scheme, but his vision, touch and read recognition made the offense special. He buys time for himself inside the pocket, but creates explosive, off-schedule plays outside of it with his arm or legs. He throws with staggering precision and timing, but he recognizes his own arm-strength constraints and is forced to shrink the field accordingly. His 2018 tape and unremarkable physical traits could clutter his evaluation for some, but he appears to be an outlier who simply developed and blossomed beyond those evaluation concerns. He's a smart quarterback with special intangibles and could become a Pro Bowler if a team tailors its offense to his specific strengths and comfort level.","Off-the-charts football IQ and intangibles. Plays with brazen field presence and poise. Rapid ascension to chess master who can beat up coverages thrown at him. Initial field glances are often lies being told to safeties. Gets through full-field progressions with unique internal clock timed to the routes. Decisive from read to release with elite precision and placement. Stuck it into impossible windows on several occasions. Very good timing and anticipation. Throws pass-catchers away from coverage and into space. Throws with superb touch and trusts receivers to make the play. Deep dime-dropper, completing 55 percent with 24 TDs and 2 INTs in 2019. Separates from rush with deft climbs, slides and escapes. Above-average toughness in pocket and as runner. Unexpected wiggle to elude when scrambling. Makes explosive, off-schedule plays while on the move. Can deliver back-breaking runs to move the chains.",Polar opposite seasons in 2018 and 2019. A level of scheme fit is necessary. Below-average arm strength and average release quickness. Tends to work into more condensed areas of the field. Steep drop in accuracy on intermediate throws outside the numbers. Requires top-notch timing for out-breaking throws as a pro. Saw nose of ball dive on some throws field-side. Spotty high/low combo throws against long boundary CBs when they play it low to high. Early issues handling Clemson's disguised blitz packages. Scheme created clearer reads and easier one-on-one throws. Took sacks he didn't need to,Franchise QB
2020,Tua Tagovailoa,"Talented dual-threat quarterback with winning background, explosive production and loads of experience in high-leverage games. He may be pigeon-holed into a spread or RPO-heavy attack, but he's actually a clean fit in a pro-style attack filled with play-action and roll-outs. He has the release, accuracy and touch needed to work all three levels successfully and can become a more disciplined, full-field reader to piece the puzzle together against NFL coverages. He needs better poise when pressured, but his escapability not only moves the chains, it creates chunk plays in the air and on the ground. Teams assessing his draft value will need to sift through mounting durability concerns and decide whether he is a ""face of the franchise"" talent without the abundance of talent surrounding him.","Fits the mold of NFL's new dual-threat quarterbacks. Career touchdown-to-interception ratio of 8:1. Sudden ball handling on RPO plays. Active, agile feet offer quick setups and re-sets. Rare upper-body twitch allows for fast release. Willing to sit and scan from the pocket. Confident throwing to windows between hashes. Experienced reading route combinations from play-action. Throws short and intermediate with repeatable accuracy. Has arm talent to make all the throws. Eyes keep safeties out of one-on-one throws to deep sideline. Feathery soft bucket throws to the deep boundary. Play-action salesman on bootlegs and deep drops. Improvisational pocket escapes. Mobility to relocate launch point or take off to move the sticks.","Short in stature with mounting durability concerns. Two ankle surgeries, hip surgery, broken nose and concussion as starter. Can improve anticipatory throws and timing. Failed to recognize easy throws to developing routes. Inconsistent squaring feet to back-side reads. Constricted delivery limits zip he can put on throws. Forces open receivers to break stride more than he should. Poise in and out of pocket can be spotty. Hurries into frenetic throws with moderate pressure at times. Fails to sit and finish delivery when he's going to be hit. Needs earlier pocket slides to stay ahead of the pressure.",High End Starter
